idJugada,descripcion_limpia
389,MISS 3PT Pullup Jump Shot
390,MISS Running Jump Shot
391,McClellan Cutting Dunk Shot
392,Driving Finger Roll
393,MISS 3PT Driving Layup
394,3PT Running Pull Up Jump Shot
395,MISS Pullup Jump Shot
396,MISS Running Finger Roll
397,3PT Turnaround Bank Shot
398,Discontinue Dribble Turnover
399,Jump N'Diaye Tip to
400,Kanter Driving Finger Roll Layup
401,N'Dong Jump Shot
402,McKinney Foul Turnover
403,3PT Driving Bank Shot
404,N'Dong Lost Turnover
405,3PT Turnaround Fadeaway
406,MISS Follow Up Dunk
407,MISS Reverse Layup
408,MISS Driving Hook Shot
409,MISS zhi 3PT Jump Shot
410,Delay
411,Free Throw Clear Path
412,MISS 3PT Running Pull Up Jump Shot
413,MISS Running Pull Up Jump Shot
414,Running Reverse Layup
415,Violation Kicked
416,MISS 3PT Layup
417,N'Dong Driving Finger Roll
418,Illegal Pick Turnover
419,MISS 3PT Running Layup
420,McClellan Jump Shot
421,SUB N'Diaye FOR
422,Illegal Screen Turnover
423,MISS Driving Dunk
424,SUB Pendergraph FOR
425,Hook Bank Shot
426,MISS 3PT No Shot
427,Reverse Slam Dunk
428,SUB Llull FOR
429,zhi Layup
430,MISS zhi Layup
431,Driving Jump Shot
432,Hook Shot
433,Personal Block Foul
434,Inbound Turnover
435,Renfroe Lost Turnover
436,Timeout No Timeout
